,#plate,mjd,fiberid,run2d,specobj_id,ra,dec,sn_median_r,z,zerr,zwarning,class,subclass
761773,'2131','53819','135','26','2399329874071283712','14:26:03.33','+24:53:42.01',6.84,0.37805,0.000106,'0','GALAXY','BROADLINE'
206883,'664','52174','404','26','747708625291601920','01:46:21.32','-08:05:09.35',6.63,0.424167,9.1e-05,'0','GALAXY',''
631857,'1754','53385','225','26','1974890340921927680','11:30:18.92','+14:37:25.38',28.5,0.069699,1.4e-05,'0','GALAXY',''
309167,'895','52581','459','26','1007806628885456896','08:36:19.79','+42:37:23.41',14.66,0.120655,1.1e-05,'0','GALAXY','STARFORMING'
399090,'1158','52668','114','26','1303823472966789120','13:57:07.46','+57:37:16.70',4.7,0.395566,0.000125,'0','GALAXY',''
113011,'471','51924','388','26','530405541030160384','09:03:00.18','+02:00:18.85',36.71,0.071174,1.5e-05,'0','GALAXY',''
835065,'2368','53758','133','26','2666167601213761536','09:29:00.40','+16:28:06.43',2.99,0.445814,0.000152,'0','GALAXY',''
212231,'675','52590','221','26','760043228589221888','22:43:02.61','-00:13:51.94',52.58,0.057837,1.1e-05,'0','GALAXY',''
759085,'2125','53795','456','26','2392662710035703808','14:10:39.04','+32:39:30.67',7.62,0.341917,8.4e-05,'0','GALAXY',''
3053,'269','51910','638','26','303042479089805312','10:08:09.25','+00:23:17.66',39.52,0.062485,1.5e-05,'0','GALAXY','BROADLINE'
822095,'2297','53738','610','26','2586359824254003200','09:48:00.27','+27:03:28.44',21.57,0.06992,6e-06,'0','GALAXY','STARBURST'
911891,'2660','54504','326','26','2994983437963651072','12:37:57.12','+25:58:23.42',24.16,0.155374,1e-05,'0','GALAXY','STARFORMING'
107095,'456','51910','422','26','513526388041476096','02:43:31.55','-07:42:32.07',10.77,0.076471,7e-06,'0','GALAXY','STARBURST'
528727,'1464','53091','289','26','1648396955191109632','13:27:50.22','+40:04:47.59',36.28,0.046213,1.5e-05,'0','GALAXY','AGN BROADLINE'
164081,'581','52353','141','26','654186643137259520','11:08:35.90','+04:20:32.25',17.27,0.092933,5e-06,'0','GALAXY','STARBURST'
786537,'2202','53566','251','26','2479300649049679872','16:21:09.09','+13:57:38.08',18.82,0.202363,2.8e-05,'0','GALAXY',''
296693,'864','52320','570','26','972934238842152960','08:44:11.09','+37:40:49.99',13.01,0.154308,1.3e-05,'0','GALAXY',''
77815,'411','51817','581','26','462904596260481024','03:06:24.73','+00:21:35.23',7.13,0.204458,2.2e-05,'0','GALAXY',''
470252,'1338','52765','268','26','1506527789023520768','16:24:58.65','+35:52:24.06',19.51,0.11512,2.7e-05,'0','GALAXY',''
538814,'1522','52932','608','26','1713786833172719616','21:25:18.06','+01:03:05.72',16.62,0.139664,3.1e-05,'0','GALAXY',''
123488,'496','51973','62','26','558463429325645824','13:27:20.03','+66:18:44.43',34.58,0.095172,1.5e-05,'0','GALAXY','STARFORMING'
797702,'2227','53820','326','26','2507468766825179136','12:00:51.99','+28:20:25.16',14.17,0.080899,1.3e-05,'0','GALAXY',''
128685,'505','52317','329','26','568669926659745792','10:32:20.29','+03:09:49.21',16.93,0.323242,8.2e-05,'0','GALAXY',''
96469,'435','51882','92','26','489791779818727424','07:53:19.11','+38:59:24.43',19.07,0.118536,3.1e-05,'0','GALAXY',''
639401,'1771','53498','507','26','1994108156803835904','13:01:00.26','+15:26:54.82',24.6,0.088417,2.1e-05,'0','GALAXY',''
814117,'2280','53680','239','26','2567117545161123840','08:46:30.45','+20:32:19.48',36.65,0.061307,1e-05,'0','GALAXY','STARFORMING'
450435,'1294','52753','420','26','1457029974362974208','15:34:18.26','+38:34:43.89',5.65,0.216351,0.000108,'0','GALAXY',''
750777,'2109','53468','134','26','2374559795354036224','13:35:38.89','+31:53:15.27',21.17,0.099522,2.4e-05,'0','GALAXY',''
391901,'1073','52649','631','26','1208264092444289024','02:19:02.11','+00:16:28.77',4.92,0.021306,1.5e-05,'0','GALAXY',''
860097,'2497','54154','33','26','2811381208049543168','11:30:00.79','+23:50:56.55',18.22,0.133243,2.9e-05,'0','GALAXY',''
401058,'1162','52668','44','26','1308307831140673536','14:40:49.07','+53:50:24.62',26.34,0.046653,1.1e-05,'0','GALAXY','AGN'
643649,'1780','53090','568','26','2004258016672638976','08:11:24.91','+52:02:18.06',21.07,0.083291,1.1e-05,'0','GALAXY','STARFORMING'
446570,'1286','52725','405','26','1448018651469867008','14:06:43.30','+47:46:38.85',6.1,0.150187,2.3e-05,'0','GALAXY',''
800432,'2232','53827','627','26','2513181004726822912','12:27:16.95','+30:37:22.13',22.0,0.030348,1.2e-05,'0','GALAXY','STARFORMING'
854257,'2485','54176','167','26','2797907243176060928','10:59:43.13','+18:34:19.18',19.02,0.153506,2e-05,'0','GALAXY',''
146635,'543','52017','87','26','611387597633120256','07:55:21.61','+36:43:23.68',22.38,0.077859,2.4e-05,'0','GALAXY',''
342074,'966','52642','437','26','1087739475980740608','11:27:04.23','+49:18:23.42',10.53,0.05716,8e-06,'0','GALAXY','STARFORMING'
558070,'1588','52965','409','26','1788041526874499072','08:43:15.71','+28:57:31.71',19.25,0.259281,3.6e-05,'0','GALAXY',''
876984,'2532','54589','290','26','2850858355709208576','16:23:15.78','+08:36:04.05',9.16,0.091569,1.1e-05,'0','GALAXY','STARFORMING'
508490,'1421','53149','516','26','1600045657454831616','16:27:38.93','+29:29:57.88',16.38,0.053215,1.2e-05,'0','GALAXY','STARFORMING'
886517,'2590','54175','164','26','2916125908744038400','10:22:11.89','+14:57:11.09',31.92,0.044977,1.7e-05,'0','GALAXY',''
298859,'873','52674','552','26','983062396140546048','10:22:25.09','+48:54:51.09',22.42,0.19458,2.7e-05,'0','GALAXY',''
796558,'2225','53729','141','26','2505166113071982592','12:02:01.90','+29:34:30.26',17.76,0.161732,3.2e-05,'0','GALAXY',''
339860,'962','52620','92','26','1083141043106375680','10:40:35.36','+46:11:23.63',35.15,0.050232,1.2e-05,'0','GALAXY','AGN'
877976,'2570','54081','322','26','2893651339739424768','08:05:18.04','+09:25:33.53',1.87,0.330375,1.4e-05,'0','GALAXY','STARBURST'
946735,'2952','54559','167','26','3323702506097240064','15:17:48.76','+01:46:41.26',10.75,0.090342,1.4e-05,'0','GALAXY','STARFORMING'
512576,'1431','52992','155','26','1611205422964828160','10:38:52.53','+44:14:27.78',15.01,0.120783,2.8e-05,'0','GALAXY',''
588594,'1653','53534','588','26','1861274233510848512','15:47:03.69','+28:05:47.18',11.59,0.209127,5.4e-05,'0','GALAXY',''
825117,'2346','53734','369','26','2641462674046609408','10:16:08.69','+25:36:44.58',10.37,0.103008,9e-06,'0','GALAXY','STARFORMING'
824157,'2344','53740','296','26','2639190808246380544','09:56:18.92','+24:35:58.36',12.7,0.022912,9e-06,'0','GALAXY','STARFORMING'
789877,'2211','53786','163','26','2489409562646439936','11:04:22.64','+28:16:49.47',11.72,0.164358,1.2e-05,'0','GALAXY','AGN'
155141,'561','52295','412','26','631743135940110336','10:44:48.48','+61:15:39.02',7.12,0.363353,8.7e-05,'0','GALAXY',''
634512,'1760','53086','609','26','1981751288462862336','08:53:15.05','+09:47:09.78',5.89,0.31502,0.000148,'0','GALAXY',''
132036,'512','51992','166','26','576506415456217088','11:28:40.16','+02:01:13.49',13.09,0.049203,1.3e-05,'0','GALAXY','STARFORMING'
585699,'1648','53171','187','26','1855534501845821440','15:01:39.09','+32:16:29.45',22.16,0.068067,2.1e-05,'0','GALAXY',''
351775,'987','52523','523','26','1111407011527944192','21:24:34.66','+00:39:11.06',12.06,0.086548,1e-05,'0','GALAXY','STARFORMING'
765294,'2138','53757','51','26','2407188082634811392','14:41:34.14','+29:08:34.33',14.23,0.2444,5.3e-05,'0','GALAXY',''
676803,'1847','54176','246','26','2079604817965115392','15:19:47.19','+27:40:23.69',13.9,0.083295,2.6e-05,'0','GALAXY',''
706089,'1959','53440','537','26','2205785584654379008','10:31:10.49','+31:52:13.32',4.41,0.436941,9.9e-05,'0','GALAXY',''
761837,'2131','53819','216','26','2399352139181746176','14:24:15.18','+25:04:23.88',38.4,0.098681,1.6e-05,'0','GALAXY','BROADLINE'
721330,'2005','53472','411','26','2257542346289735680','13:34:01.80','+39:26:16.69',13.49,0.053152,2.1e-05,'0','GALAXY','STARFORMING'
95755,'433','51873','101','26','487542453755209728','07:47:26.95','+37:50:36.53',13.28,0.338049,5.1e-05,'0','GALAXY',''
695367,'1936','53330','235','26','2179806871823607808','09:08:09.21','+29:10:13.56',7.68,0.207511,3.7e-05,'0','GALAXY',''
298426,'873','52347','638','26','983086030154393600','10:23:42.44','+49:18:26.32',20.54,0.148333,3.3e-05,'0','GALAXY',''
801267,'2234','53823','461','26','2515387174740846592','12:29:37.56','+30:36:58.78',26.35,0.059895,1.2e-05,'0','GALAXY','STARFORMING'
274625,'813','52354','118','26','915389099349665792','16:08:23.77','+47:03:21.11',19.97,0.045967,6e-06,'0','GALAXY','STARFORMING'
639552,'1772','53089','107','26','1995124098686019584','13:10:09.93','+14:02:51.72',33.53,0.088024,1.8e-05,'0','GALAXY',''
676223,'1846','54173','187','26','2078462700211431424','15:20:00.25','+28:03:25.86',23.33,0.083374,2e-05,'0','GALAXY',''
735649,'2035','53436','175','26','2291254471704995840','11:51:25.60','+35:43:59.52',12.57,0.173085,2.8e-05,'0','GALAXY',''
114286,'474','52000','611','26','533844539799005184','09:28:36.25','+00:27:56.92',13.55,0.148836,3.8e-05,'0','GALAXY',''
893057,'2604','54484','194','26','2931896758961203200','13:13:57.05','+16:36:35.30',22.31,0.021883,7e-06,'0','GALAXY','STARBURST'
916331,'2745','54231','66','26','3090613457209288704','14:14:09.03','+15:16:03.41',16.0,0.12308,1.1e-05,'0','GALAXY','STARFORMING'
7172,'278','51900','206','26','313056830827816960','11:07:36.44','-01:04:28.86',12.5,0.271954,5e-05,'0','GALAXY',''
213866,'679','52177','319','26','764573759322482688','23:10:06.81','-00:22:04.05',7.4,0.11686,6e-06,'0','GALAXY','STARBURST'
810835,'2272','53713','31','26','2558053171855386624','08:26:51.58','+15:04:16.55',16.77,0.065962,3.1e-05,'0','GALAXY',''
581974,'1636','53061','510','26','1842112486682159104','04:08:21.16','-05:30:27.17',5.54,0.318932,0.000122,'0','GALAXY',''
102814,'447','51877','64','26','503294882035558400','08:52:15.16','+51:34:47.26',12.93,0.115198,1.7e-05,'0','GALAXY','STARFORMING'
382531,'1046','52460','416','26','1177805693038651392','14:28:46.66','+51:12:21.11',13.65,0.100535,3.8e-05,'0','GALAXY',''
10373,'283','51584','20','26','318635197769738240','11:47:06.25','-01:01:45.63',15.5,0.11711,3.2e-05,'0','GALAXY',''
849105,'2440','53818','60','26','2747212329425856512','09:24:37.87','+14:07:39.15',14.47,0.138913,1.1e-05,'0','GALAXY',''
914437,'2666','54230','168','26','3001695402098452480','13:42:57.63','+23:29:55.13',20.32,0.139764,2.4e-05,'0','GALAXY',''
234425,'732','52221','11','26','824161792728000512','21:46:08.76','+11:17:29.47',8.82,0.033148,9e-06,'0','GALAXY','STARFORMING'
157095,'568','52254','162','26','639555715123406848','09:25:55.61','+03:09:59.31',7.26,0.266383,2.1e-05,'0','GALAXY','STARFORMING'
536840,'1509','52942','552','26','1699134741388748800','02:33:36.08','+00:01:31.67',1.55,0.601205,0.000203,'0','GALAXY',''
581238,'1635','53053','246','26','1840914018873665536','03:56:02.43','-06:49:55.51',4.63,0.317783,8.6e-05,'0','GALAXY',''
55379,'374','51791','508','26','421226233183889408','22:15:11.73','-00:00:05.09',8.36,0.328955,8.4e-05,'0','GALAXY',''
858346,'2493','54115','379','26','2806972715523663872','11:14:19.38','+24:55:38.64',21.95,0.134512,2.1e-05,'0','GALAXY',''
892103,'2602','54149','173','26','2929639181091104768','12:57:06.88','+17:27:48.02',12.0,0.174031,2.2e-05,'0','GALAXY',''
87,'266','51602','118','26','299521837690284032','09:46:31.36','+00:04:15.54',11.41,0.125926,4.8e-05,'0','GALAXY',''
828130,'2352','53770','630','26','2648289817225357312','10:41:22.40','+25:36:50.43',34.61,0.052349,1.1e-05,'0','GALAXY','STARFORMING'
408772,'1178','52825','340','26','1326403596144633856','21:42:18.74','-06:53:55.67',17.37,0.053047,2.5e-05,'0','GALAXY',''
465933,'1328','52786','190','26','1495247349830674432','14:48:39.67','+50:44:14.75',10.45,0.130049,2.9e-05,'0','GALAXY',''
390261,'1064','52577','253','26','1198027088225921024','03:24:54.78','-00:41:50.24',11.31,0.190429,5.5e-05,'0','GALAXY',''
423414,'1215','52725','555','26','1368120989770082304','09:39:54.91','+40:19:55.47',21.67,0.083542,1.9e-05,'0','GALAXY','AGN'
356408,'998','52750','100','26','1123675640957003776','10:25:20.33','+05:55:47.78',34.92,0.043486,1.6e-05,'0','GALAXY','BROADLINE'
856933,'2490','54179','423','26','2803607111504783360','11:06:54.24','+19:29:11.79',11.97,0.086525,1.1e-05,'0','GALAXY','STARFORMING'
630594,'1751','53377','522','26','1971594279805544448','11:07:51.90','+15:28:07.91',25.45,0.100897,1.7e-05,'0','GALAXY','STARFORMING'
239577,'741','52261','588','26','834453497112979456','22:58:53.87','+14:01:56.04',14.16,0.123033,1.7e-05,'0','GALAXY',''
56987,'378','52146','88','26','425614390046255104','22:46:54.78','-00:41:40.03',11.57,0.202618,4.5e-05,'0','GALAXY',''
898780,'2616','54499','357','26','2945452363193804800','12:55:06.05','+20:08:07.23',11.97,0.278699,6.1e-05,'0','GALAXY',''
